
台灣,#genre#
龍華洋片 Lunghua Western,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=lunghuawestern_twn
博斯無限,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=bosiunlimited_twn
MTV Live,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=mtvhd_twn
龍詳時代,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=lungxiangtime_twn
EYETV 旅遊,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eyetvtravel_twn
靖天卡通台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=jingtiancartoon_twn
EYETV 戲劇,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eyetvxiju_twn
衛視中文台 Star Movies Chinese,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=weishichinese_twn
東森幼幼 Yoyo TV,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=yoyo_twn
衛視電影台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=weishimovie_twn
美亞電影,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=meiyamovie_twn
愛爾達影劇台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eltayingju_twn
愛爾達綜合台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eltazonghe_twn
星衛電影,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=xingwei_movie
愛爾達影劇,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eltayingju_twn
愛爾達體育1台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eltasport_twn
愛爾達體育2台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eltasport2_twn
愛爾達體育3台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=eltasport3_twn
AFC 亞洲旅遊台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=asiatravel_twn

香港,#genre#
翡翠台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=jade_twn
iNews 新聞台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=inews_twn
J 2,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=j2_twn
J2 備用,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=j2_hkdavid
珍珠台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=pearl_twn
