香港,#genre#
体育频道|Sony Ten 2,http://192.168.2.114:6789/smart2.php?id=ten2_raj
体育频道|Sony Ten 3,http://192.168.2.114:6789/smart2.php?id=ten3_raj
体育频道|SPOTV 1 HD,http://192.168.2.114:6789/smart2.php?id=go_spotv
体育频道|SPO TV 2,http://192.168.2.114:6789/smart2.php?id=go_spotv2
体育频道|Skysports F1,http://192.168.2.114:6789/smart2.php?id=tiankongf1
体育频道|Skysports Cricket,http://192.168.2.114:6789/smart2.php?id=tiankongcricket
体育频道|Skysports EPL,http://192.168.2.114:6789/smart2.php?id=tiankongepl
体育频道|Skysports Main Event,http://192.168.2.114:6789/smart2.php?id=tiankongmain
体育频道|Skysports News,http://192.168.2.114:6789/smart2.php?id=tiankongnews
体育频道|Skysports Mix,http://192.168.2.114:6789/smart2.php?id=tiankongmix
体育频道|CCTV-5 体育频道,http://192.168.2.114:6789/smart2.php?id=cctv5
体育频道|CCTV-5+ 体育赛事 HD,http://192.168.2.114:6789/smart2.php?id=cctv5plus
体育频道|爱尔达体育2台,http://192.168.2.114:6789/smart2.php?id=eltasport2_twn
体育频道|爱尔达体育3台,http://192.168.2.114:6789/smart2.php?id=eltasport3_twn
体育频道|Rugby Pass TV,http://192.168.2.114:6789/smart2.php?id=Rugbypasstv
体育频道|RTM Sports HD,http://192.168.2.114:6789/smart2.php?id=Rtmsport
体育频道|Arena,http://192.168.2.114:6789/smart2.php?id=Arena
体育频道|Arena 2,http://192.168.2.114:6789/smart2.php?id=Arena2
体育频道|BolaArena 1,http://192.168.2.114:6789/smart2.php?id=Bolaarena1
体育频道|BolaArena 2,http://192.168.2.114:6789/smart2.php?id=Bolaarena2
体育频道|Astro Beinsports 1,http://192.168.2.114:6789/smart2.php?id=Astrobein1
体育频道|Astro Beinsports 2,http://192.168.2.114:6789/smart2.php?id=Astrobein2
体育频道|Astro Beinsports 3,http://192.168.2.114:6789/smart2.php?id=Astrobein3
台湾,#genre#
台湾|TVBS News 新闻台,http://192.168.2.114:6789/smart2.php?id=tvbs_n
台湾|TVBS 欢乐台 （备份）,http://192.168.2.114:6789/smart2.php?id=tvbshuanle_twn
台湾|TVBS HD,http://192.168.2.114:6789/smart2.php?id=tvbs
台湾|中天新闻 HD,http://192.168.2.114:6789/smart2.php?id=ctinews
台湾|中天娱乐 CTI Entertaiment,http://192.168.2.114:6789/smart2.php?id=ctient
台湾|中天综合 CTI Metro,http://192.168.2.114:6789/smart2.php?id=ctizhonghe
台湾|中天亚洲台,http://192.168.2.114:6789/smart2.php?id=ctiasia_twn
台湾|台视 TTV HD,http://192.168.2.114:6789/smart2.php?id=ttv_taiwan
台湾|台视新闻台,http://192.168.2.114:6789/smart2.php?id=ttvnews_twn
台湾|台视综合台,http://192.168.2.114:6789/smart2.php?id=ttvzhonghe
台湾|中视 HD,http://192.168.2.114:6789/smart2.php?id=zhongshihd_twn
台湾|中视新闻台,http://192.168.2.114:6789/smart2.php?id=zhongshinews_twn
台湾|民视 HD,http://192.168.2.114:6789/smart2.php?id=ftvhd_taiwan
台湾|民视新闻台 FTV News,http://192.168.2.114:6789/smart2.php?id=ftvnew_taiwan
台湾|民视台湾台,http://192.168.2.114:6789/smart2.php?id=ftvtaiwan_twn
台湾|华视 CTS HD,http://192.168.2.114:6789/smart2.php?id=ctshd_twn
台湾|公视 CTV,http://192.168.2.114:6789/smart2.php?id=ctv18_twn
台湾|八大第一 GTV First,http://192.168.2.114:6789/smart2.php?id=badafirst
台湾|八大综合 GTV Metro,http://192.168.2.114:6789/smart2.php?id=badazhonghe
台湾|八大戏剧 GTV Drama,http://192.168.2.114:6789/smart2.php?id=badadrama
台湾|八大娱乐 GTV Entertainment,http://192.168.2.114:6789/smart2.php?id=badaentertain
台湾|HBO_HD,http://192.168.2.114:6789/smart2.php?id=hbohd_twn
台湾|HBO_HITS,http://192.168.2.114:6789/smart2.php?id=hbohit_twn
台湾|Hollywood Movies,http://192.168.2.114:6789/smart2.php?id=hollywoodmovies_twn
台湾|三立台湾 Sanli Taiwan,http://192.168.2.114:6789/smart2.php?id=sanlitaiwan
台湾|三立戏剧台,http://192.168.2.114:6789/smart2.php?id=sanlixiju_twn
台湾|三立综合 Sanli Metro,http://192.168.2.114:6789/smart2.php?id=sanlizhonghe
台湾|三立都会台,http://192.168.2.114:6789/smart2.php?id=sanlidouhui
台湾|东森新闻 ETTV News,http://192.168.2.114:6789/smart2.php?id=ettvnews
台湾|CINEMAX,http://192.168.2.114:6789/smart2.php?id=cinemax_twn
台湾|东森综合 ETTV Metro,http://192.168.2.114:6789/smart2.php?id=ettvzhonghe
台湾|东森戏剧 ETTV Drama,http://192.168.2.114:6789/smart2.php?id=ettvdrama
台湾|东森超视,http://192.168.2.114:6789/smart2.php?id=ettvsuper
台湾|东森财经新闻 ETTV Business,http://192.168.2.114:6789/smart2.php?id=ettvcaijing_twn
台湾|寰宇财经,http://192.168.2.114:6789/smart2.php?id=huanyutaiwan_twn
台湾|寰宇新闻台,http://192.168.2.114:6789/smart2.php?id=huanyuxinwen_twn
台湾|公视2,http://192.168.2.114:6789/smart2.php?id=ctv2_twn
台湾|大爱1台,http://192.168.2.114:6789/smart2.php?id=daai_twn
台湾|非凡新闻台,http://192.168.2.114:6789/smart2.php?id=feifannews_twn
台湾|龙华戏剧 Lunghua Drama,http://192.168.2.114:6789/smart2.php?id=lunghuaxiju_twn
台湾|龙华经典台,http://192.168.2.114:6789/smart2.php?id=lunghuajingdian_twn
台湾|龙华偶像,http://192.168.2.114:6789/smart2.php?id=lunghuaidol_twn
台湾|AXN Taiwan,http://192.168.2.114:6789/smart2.php?id=axn_twn
台湾|靖天国际台,http://192.168.2.114:6789/smart2.php?id=jingtianintl_twn
台湾|年代新闻,http://192.168.2.114:6789/smart2.php?id=niandainews_twn
台湾|纬来日本台,http://192.168.2.114:6789/smart2.php?id=videolandjapan
台湾|纬来电影台,http://192.168.2.114:6789/smart2.php?id=videolandmovie
台湾|纬来体育台,http://192.168.2.114:6789/smart2.php?id=videolandsport
台湾|纬来综合台,http://192.168.2.114:6789/smart2.php?id=videolandzonghe
台湾|纬来育乐,http://192.168.2.114:6789/smart2.php?id=videolandyule
台湾|纬来精彩,http://192.168.2.114:6789/smart2.php?id=videolandspecial_twn
台湾|好消息 2,http://192.168.2.114:6789/smart2.php?id=good2_twn
台湾|大爱2台,http://192.168.2.114:6789/smart2.php?id=daai2_twn
台湾|亚洲美食,http://192.168.2.114:6789/smart2.php?id=afc_twn
台湾|美食星球,http://192.168.2.114:6789/smart2.php?id=foodplanet_twn
台湾|亚洲旅游 TLC Asia,http://192.168.2.114:6789/smart2.php?id=tlc_twn
台湾|东森电影 ETTV Movie,http://192.168.2.114:6789/smart2.php?id=ettvmovie
台湾|阿里郎 Arirang,http://192.168.2.114:6789/smart2.php?id=arirang_twn
台湾|博斯运动 1,http://192.168.2.114:6789/smart2.php?id=bosisport1_twn
台湾|博斯运动 2,http://192.168.2.114:6789/smart2.php?id=bosisport2_twn
台湾|博斯高球2 HD,http://192.168.2.114:6789/smart2.php?id=bosigolf2_twn
台湾|博斯网球 HD,http://192.168.2.114:6789/smart2.php?id=bositennis_twn
台湾|东森洋片 ETTV Western,http://192.168.2.114:6789/smart2.php?id=ettvwestern
台湾|龙华洋片 Lunghua Western,http://192.168.2.114:6789/smart2.php?id=lunghuawestern_twn
台湾|博斯无限,http://192.168.2.114:6789/smart2.php?id=bosiunlimited_twn
台湾|MTV Live,http://192.168.2.114:6789/smart2.php?id=mtvhd_twn
台湾|龙详时代,http://192.168.2.114:6789/smart2.php?id=lungxiangtime_twn
台湾|EYETV 旅游,http://192.168.2.114:6789/smart2.php?id=eyetvtravel_twn
台湾|靖天卡通台,http://192.168.2.114:6789/smart2.php?id=jingtiancartoon_twn
台湾|EYETV 戏剧,http://192.168.2.114:6789/smart2.php?id=eyetvxiju_twn
台湾|卫视中文台 Star Movies Chinese,http://192.168.2.114:6789/smart2.php?id=weishichinese_twn
台湾|东森幼幼 Yoyo TV,http://192.168.2.114:6789/smart2.php?id=yoyo_twn
台湾|卫视电影台,http://192.168.2.114:6789/smart2.php?id=weishimovie_twn
台湾|美亚电影,http://192.168.2.114:6789/smart2.php?id=meiyamovie_twn
台湾|爱尔达影剧台,http://192.168.2.114:6789/smart2.php?id=eltayingju_twn
台湾|爱尔达综合台,http://192.168.2.114:6789/smart2.php?id=eltazonghe_twn
台湾|星卫电影,http://192.168.2.114:6789/smart2.php?id=xingwei_movie
台湾|爱尔达影剧,http://192.168.2.114:6789/smart2.php?id=eltayingju_twn
台湾|AFC 亚洲旅游台,http://192.168.2.114:6789/smart2.php?id=asiatravel_twn
台湾|爱尔达体育2台,http://192.168.2.114:6789/smart2.php?id=eltasport2_twn
台湾|爱尔达体育3台,http://192.168.2.114:6789/smart2.php?id=eltasport3_twn
电影,#genre#
电影频道|HBO_HD,http://192.168.2.114:6789/smart2.php?id=hbohd_twn
电影频道|HBO_HITS,http://192.168.2.114:6789/smart2.php?id=hbohit_twn
电影频道|Hollywood Movies,http://192.168.2.114:6789/smart2.php?id=hollywoodmovies_twn
电影频道|CCTV-6,http://192.168.2.114:6789/smart2.php?id=cctv6
电影频道|CINEMAX,http://192.168.2.114:6789/smart2.php?id=cinemax_twn
电影频道|Cinemax,http://192.168.2.114:6789/smart2.php?id=Cinemax
电影频道|AXN Taiwan,http://192.168.2.114:6789/smart2.php?id=axn_twn
电影频道|大爱2台,http://192.168.2.114:6789/smart2.php?id=daai2_twn
电影频道|东森电影 ETTV Movie,http://192.168.2.114:6789/smart2.php?id=ettvmovie
电影频道|东森洋片 ETTV Western,http://192.168.2.114:6789/smart2.php?id=ettvwestern
电影频道|龙华洋片 Lunghua Western,http://192.168.2.114:6789/smart2.php?id=lunghuawestern_twn
电影频道|Animax,http://192.168.2.114:6789/smart2.php?id=Animax
电影频道|龙详时代,http://192.168.2.114:6789/smart2.php?id=lungxiangtime_twn
电影频道|Movies Now HD,http://192.168.2.114:6789/smart2.php?id=moviesnow_raj
电影频道|Star Movies HD,http://192.168.2.114:6789/smart2.php?id=starmovies_raj
电影频道|卫视中文台 Star Movies Chinese,http://192.168.2.114:6789/smart2.php?id=weishichinese_twn
电影频道|HBO Family,http://192.168.2.114:6789/smart2.php?id=Hbofamily
电影频道|Hits,http://192.168.2.114:6789/smart2.php?id=Hits
电影频道|Warner TV,http://192.168.2.114:6789/smart2.php?id=WarnerTV
电影频道|卫视电影台,http://192.168.2.114:6789/smart2.php?id=weishimovie_twn
电影频道|HBO HD,http://192.168.2.114:6789/smart2.php?id=Hbo
电影频道|美亚电影,http://192.168.2.114:6789/smart2.php?id=meiyamovie_twn
电影频道|HBO Signature,http://192.168.2.114:6789/smart2.php?id=Hbosignature
电影频道|HBO Hits,http://192.168.2.114:6789/smart2.php?id=Hbohitshd
电影频道|星卫电影,http://192.168.2.114:6789/smart2.php?id=xingwei_movie
电影频道|SCM,http://192.168.2.114:6789/smart2.php?id=Weishimovie
电影频道|Dreamworks,http://192.168.2.114:6789/smart2.php?id=Dreamworks
电影频道|Thrill,http://192.168.2.114:6789/smart2.php?id=Thrill
电影频道|Hits Movie,http://192.168.2.114:6789/smart2.php?id=Hitsmovie
